"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_segregating_mutations_selfing"
"424",0.01,0.2,0.8,24,1507
"425",0.01,0.2,0.8,25,1466
"426",0.01,0.2,0.8,26,1283
"427",0.01,0.2,0.8,27,1418
"428",0.01,0.2,0.8,28,1433
"429",0.01,0.2,0.8,29,1623
"430",0.01,0.2,0.8,30,1382
"431",0.01,0.2,0.8,31,1504
"432",0.01,0.2,0.8,32,1495
"433",0.01,0.2,0.8,33,1501
"434",0.01,0.2,0.8,34,1386
"435",0.01,0.2,0.8,35,1450
"436",0.01,0.2,0.8,36,1393
"437",0.01,0.2,0.8,37,1532
"438",0.01,0.2,0.8,38,1388
"439",0.01,0.2,0.8,39,1486
"440",0.01,0.2,0.8,40,1249
"441",0.01,0.2,0.8,41,1417
"442",0.01,0.2,0.8,42,1462
"443",0.01,0.2,0.8,43,1545
"444",0.01,0.2,0.8,44,1456
"445",0.01,0.2,0.8,45,1345
"446",0.01,0.2,0.8,46,1554
"447",0.01,0.2,0.8,47,1451
"448",0.01,0.2,0.8,48,1467
"449",0.01,0.2,0.8,49,1626
"450",0.01,0.2,0.8,50,1405
"451",0.01,0.2,0.8,51,1408
"452",0.01,0.2,0.8,52,1469
"453",0.01,0.2,0.8,53,1411
"454",0.01,0.2,0.8,54,1404
"455",0.01,0.2,0.8,55,1334
"456",0.01,0.2,0.8,56,1392
"457",0.01,0.2,0.8,57,1419
"458",0.01,0.2,0.8,58,1481
"459",0.01,0.2,0.8,59,1551
"460",0.01,0.2,0.8,60,1424
"461",0.01,0.2,0.8,61,1388
"462",0.01,0.2,0.8,62,1308
"463",0.01,0.2,0.8,63,1550
"464",0.01,0.2,0.8,64,1444
"465",0.01,0.2,0.8,65,1526
"466",0.01,0.2,0.8,66,1405
"467",0.01,0.2,0.8,67,1418
"468",0.01,0.2,0.8,68,1394
"469",0.01,0.2,0.8,69,1416
"470",0.01,0.2,0.8,70,1559
"471",0.01,0.2,0.8,71,1469
"472",0.01,0.2,0.8,72,1465
"473",0.01,0.2,0.8,73,1438
"474",0.01,0.2,0.8,74,1405
"475",0.01,0.2,0.8,75,1571
"476",0.01,0.2,0.8,76,1478
"477",0.01,0.2,0.8,77,1476
"478",0.01,0.2,0.8,78,1375
"479",0.01,0.2,0.8,79,1447
"480",0.01,0.2,0.8,80,1494
"481",0.01,0.2,0.8,81,1421
"482",0.01,0.2,0.8,82,1514
"483",0.01,0.2,0.8,83,1375
"484",0.01,0.2,0.8,84,1476
"485",0.01,0.2,0.8,85,1507
"486",0.01,0.2,0.8,86,1422
"487",0.01,0.2,0.8,87,1403
"488",0.01,0.2,0.8,88,1437
"489",0.01,0.2,0.8,89,1508
"490",0.01,0.2,0.8,90,1326
"491",0.01,0.2,0.8,91,1545
"492",0.01,0.2,0.8,92,1487
"493",0.01,0.2,0.8,93,1446
"494",0.01,0.2,0.8,94,1527
"495",0.01,0.2,0.8,95,1529
"496",0.01,0.2,0.8,96,1323
"497",0.01,0.2,0.8,97,1497
"498",0.01,0.2,0.8,98,1414
"499",0.01,0.2,0.8,99,1413
"500",0.01,0.2,0.8,100,1333
"501",0.01,0.2,0.95,1,1046
"502",0.01,0.2,0.95,2,1174
"503",0.01,0.2,0.95,3,1273
"504",0.01,0.2,0.95,4,1097
"505",0.01,0.2,0.95,5,1048
"506",0.01,0.2,0.95,6,1352
"507",0.01,0.2,0.95,7,1182
"508",0.01,0.2,0.95,8,1213
"509",0.01,0.2,0.95,9,1200
"510",0.01,0.2,0.95,10,1277
"511",0.01,0.2,0.95,11,1208
"512",0.01,0.2,0.95,12,1256
"513",0.01,0.2,0.95,13,1251
"514",0.01,0.2,0.95,14,1211
"515",0.01,0.2,0.95,15,1086
"516",0.01,0.2,0.95,16,1183
"517",0.01,0.2,0.95,17,1022
"518",0.01,0.2,0.95,18,1273
"519",0.01,0.2,0.95,19,1170
"520",0.01,0.2,0.95,20,1273
"521",0.01,0.2,0.95,21,1213
"522",0.01,0.2,0.95,22,1263
"523",0.01,0.2,0.95,23,1246
"524",0.01,0.2,0.95,24,1182
"525",0.01,0.2,0.95,25,1129
"526",0.01,0.2,0.95,26,1225
"527",0.01,0.2,0.95,27,1162
"528",0.01,0.2,0.95,28,1143
"529",0.01,0.2,0.95,29,1118
"530",0.01,0.2,0.95,30,1498
"531",0.01,0.2,0.95,31,1042
"532",0.01,0.2,0.95,32,1297
"533",0.01,0.2,0.95,33,1117
"534",0.01,0.2,0.95,34,1240
"535",0.01,0.2,0.95,35,1322
"536",0.01,0.2,0.95,36,1097
"537",0.01,0.2,0.95,37,1165
"538",0.01,0.2,0.95,38,1305
"539",0.01,0.2,0.95,39,1291
"540",0.01,0.2,0.95,40,1126
"541",0.01,0.2,0.95,41,1042
"542",0.01,0.2,0.95,42,1120
"543",0.01,0.2,0.95,43,1199
"544",0.01,0.2,0.95,44,1296
"545",0.01,0.2,0.95,45,1164
"546",0.01,0.2,0.95,46,1203
"547",0.01,0.2,0.95,47,1343
"548",0.01,0.2,0.95,48,1223
"549",0.01,0.2,0.95,49,1379
"550",0.01,0.2,0.95,50,1257
"551",0.01,0.2,0.95,51,1023
"552",0.01,0.2,0.95,52,1264
"553",0.01,0.2,0.95,53,1188
"554",0.01,0.2,0.95,54,1335
"555",0.01,0.2,0.95,55,967
"556",0.01,0.2,0.95,56,1311
"557",0.01,0.2,0.95,57,1144
"558",0.01,0.2,0.95,58,1287
"559",0.01,0.2,0.95,59,1254
"560",0.01,0.2,0.95,60,1474
"561",0.01,0.2,0.95,61,1305
"562",0.01,0.2,0.95,62,1262
"563",0.01,0.2,0.95,63,1114
"564",0.01,0.2,0.95,64,1057
"565",0.01,0.2,0.95,65,1170
"566",0.01,0.2,0.95,66,1017
"567",0.01,0.2,0.95,67,1292
"568",0.01,0.2,0.95,68,1201
"569",0.01,0.2,0.95,69,1316
"570",0.01,0.2,0.95,70,1143
"571",0.01,0.2,0.95,71,1445
"572",0.01,0.2,0.95,72,1324
"573",0.01,0.2,0.95,73,1198
"574",0.01,0.2,0.95,74,1269
"575",0.01,0.2,0.95,75,1312
"576",0.01,0.2,0.95,76,1193
"577",0.01,0.2,0.95,77,1168
"578",0.01,0.2,0.95,78,1332
"579",0.01,0.2,0.95,79,1110
"580",0.01,0.2,0.95,80,1072
"581",0.01,0.2,0.95,81,1190
"582",0.01,0.2,0.95,82,1188
"583",0.01,0.2,0.95,83,1250
"584",0.01,0.2,0.95,84,1141
"585",0.01,0.2,0.95,85,1238
"586",0.01,0.2,0.95,86,1210
"587",0.01,0.2,0.95,87,1225
"588",0.01,0.2,0.95,88,1230
"589",0.01,0.2,0.95,89,1037
"590",0.01,0.2,0.95,90,1022
"591",0.01,0.2,0.95,91,1237
"592",0.01,0.2,0.95,92,1106
"593",0.01,0.2,0.95,93,1239
"594",0.01,0.2,0.95,94,1217
"595",0.01,0.2,0.95,95,1162
"596",0.01,0.2,0.95,96,1193
"597",0.01,0.2,0.95,97,1387
"598",0.01,0.2,0.95,98,1131
"599",0.01,0.2,0.95,99,1218
"600",0.01,0.2,0.95,100,1275
"601",0.01,0.2,0.99,1,1294
"602",0.01,0.2,0.99,2,1355
"603",0.01,0.2,0.99,3,2006
"604",0.01,0.2,0.99,4,1836
"605",0.01,0.2,0.99,5,1893
"606",0.01,0.2,0.99,6,1557
"607",0.01,0.2,0.99,7,1541
"608",0.01,0.2,0.99,8,1091
"609",0.01,0.2,0.99,9,1366
"610",0.01,0.2,0.99,10,1591
"611",0.01,0.2,0.99,11,1562
"612",0.01,0.2,0.99,12,1682
"613",0.01,0.2,0.99,13,2114
"614",0.01,0.2,0.99,14,1222
"615",0.01,0.2,0.99,15,1621
"616",0.01,0.2,0.99,16,1199
"617",0.01,0.2,0.99,17,2056
"618",0.01,0.2,0.99,18,1924
"619",0.01,0.2,0.99,19,1567
"620",0.01,0.2,0.99,20,1368
"621",0.01,0.2,0.99,21,1623
"622",0.01,0.2,0.99,22,1095
"623",0.01,0.2,0.99,23,1396
"624",0.01,0.2,0.99,24,1486
"625",0.01,0.2,0.99,25,1512
"626",0.01,0.2,0.99,26,1219
"627",0.01,0.2,0.99,27,1630
"628",0.01,0.2,0.99,28,1715
"629",0.01,0.2,0.99,29,1395
"630",0.01,0.2,0.99,30,1739
"631",0.01,0.2,0.99,31,1741
"632",0.01,0.2,0.99,32,1675
"633",0.01,0.2,0.99,33,1499
"634",0.01,0.2,0.99,34,1246
"635",0.01,0.2,0.99,35,1731
"636",0.01,0.2,0.99,36,1486
"637",0.01,0.2,0.99,37,1371
"638",0.01,0.2,0.99,38,1638
"639",0.01,0.2,0.99,39,1152
"640",0.01,0.2,0.99,40,1755
"641",0.01,0.2,0.99,41,1332
"642",0.01,0.2,0.99,42,982
"643",0.01,0.2,0.99,43,1083
"644",0.01,0.2,0.99,44,1612
"645",0.01,0.2,0.99,45,1904
"646",0.01,0.2,0.99,46,1409
"647",0.01,0.2,0.99,47,1530
"648",0.01,0.2,0.99,48,1346
"649",0.01,0.2,0.99,49,1513
"650",0.01,0.2,0.99,50,1878
"651",0.01,0.2,0.99,51,1529
"652",0.01,0.2,0.99,52,1831
"653",0.01,0.2,0.99,53,1775
"654",0.01,0.2,0.99,54,1356
"655",0.01,0.2,0.99,55,1350
"656",0.01,0.2,0.99,56,1412
"657",0.01,0.2,0.99,57,1571
"658",0.01,0.2,0.99,58,1222
"659",0.01,0.2,0.99,59,1411
"660",0.01,0.2,0.99,60,1842
"661",0.01,0.2,0.99,61,1336
"662",0.01,0.2,0.99,62,1792
"663",0.01,0.2,0.99,63,1144
"664",0.01,0.2,0.99,64,1574
"665",0.01,0.2,0.99,65,1588
"666",0.01,0.2,0.99,66,1294
"667",0.01,0.2,0.99,67,1487
"668",0.01,0.2,0.99,68,2230
"669",0.01,0.2,0.99,69,1629
"670",0.01,0.2,0.99,70,1826
"671",0.01,0.2,0.99,71,1635
"672",0.01,0.2,0.99,72,1970
"673",0.01,0.2,0.99,73,1852
"674",0.01,0.2,0.99,74,1860
"675",0.01,0.2,0.99,75,1833
"676",0.01,0.2,0.99,76,1167
"677",0.01,0.2,0.99,77,1562
"678",0.01,0.2,0.99,78,1278
"679",0.01,0.2,0.99,79,1515
"680",0.01,0.2,0.99,80,1701
"681",0.01,0.2,0.99,81,1317
"682",0.01,0.2,0.99,82,1494
"683",0.01,0.2,0.99,83,1545
"684",0.01,0.2,0.99,84,1194
"685",0.01,0.2,0.99,85,1430
"686",0.01,0.2,0.99,86,1443
"687",0.01,0.2,0.99,87,1143
"688",0.01,0.2,0.99,88,1703
"689",0.01,0.2,0.99,89,1443
"690",0.01,0.2,0.99,90,1411
"691",0.01,0.2,0.99,91,1825
"692",0.01,0.2,0.99,92,1894
"693",0.01,0.2,0.99,93,1545
"694",0.01,0.2,0.99,94,1594
