"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_seg_homo_genotypes_cloning"
"602",0.01,0.2,0.99,2,0
"603",0.01,0.2,0.99,3,0
"604",0.01,0.2,0.99,4,1205
"605",0.01,0.2,0.99,5,0
"606",0.01,0.2,0.99,6,1878
"607",0.01,0.2,0.99,7,1592
"608",0.01,0.2,0.99,8,0
"609",0.01,0.2,0.99,9,0
"610",0.01,0.2,0.99,10,0
"611",0.01,0.2,0.99,11,0
"612",0.01,0.2,0.99,12,721
"613",0.01,0.2,0.99,13,0
"614",0.01,0.2,0.99,14,68
"615",0.01,0.2,0.99,15,223
"616",0.01,0.2,0.99,16,2708
"617",0.01,0.2,0.99,17,0
"618",0.01,0.2,0.99,18,3866
"619",0.01,0.2,0.99,19,0
"620",0.01,0.2,0.99,20,0
"621",0.01,0.2,0.99,21,0
"622",0.01,0.2,0.99,22,0
"623",0.01,0.2,0.99,23,3004
"624",0.01,0.2,0.99,24,828
"625",0.01,0.2,0.99,25,0
"626",0.01,0.2,0.99,26,0
"627",0.01,0.2,0.99,27,2728
"628",0.01,0.2,0.99,28,0
"629",0.01,0.2,0.99,29,0
"630",0.01,0.2,0.99,30,1110
"631",0.01,0.2,0.99,31,2512
"632",0.01,0.2,0.99,32,2498
"633",0.01,0.2,0.99,33,0
"634",0.01,0.2,0.99,34,0
"635",0.01,0.2,0.99,35,98
"636",0.01,0.2,0.99,36,0
"637",0.01,0.2,0.99,37,15
"638",0.01,0.2,0.99,38,1935
"639",0.01,0.2,0.99,39,0
"640",0.01,0.2,0.99,40,0
"641",0.01,0.2,0.99,41,307
"642",0.01,0.2,0.99,42,1089
"643",0.01,0.2,0.99,43,2937
"644",0.01,0.2,0.99,44,100
"645",0.01,0.2,0.99,45,2848
"646",0.01,0.2,0.99,46,0
"647",0.01,0.2,0.99,47,0
"648",0.01,0.2,0.99,48,2042
"649",0.01,0.2,0.99,49,366
"650",0.01,0.2,0.99,50,0
"651",0.01,0.2,0.99,51,0
"652",0.01,0.2,0.99,52,0
"653",0.01,0.2,0.99,53,3132
"654",0.01,0.2,0.99,54,0
"655",0.01,0.2,0.99,55,1094
"656",0.01,0.2,0.99,56,0
"657",0.01,0.2,0.99,57,0
"658",0.01,0.2,0.99,58,0
"659",0.01,0.2,0.99,59,2445
"660",0.01,0.2,0.99,60,1016
"661",0.01,0.2,0.99,61,0
"662",0.01,0.2,0.99,62,0
"663",0.01,0.2,0.99,63,0
"664",0.01,0.2,0.99,64,0
"665",0.01,0.2,0.99,65,0
"666",0.01,0.2,0.99,66,2885
"667",0.01,0.2,0.99,67,3346
"668",0.01,0.2,0.99,68,0
"669",0.01,0.2,0.99,69,0
"670",0.01,0.2,0.99,70,0
"671",0.01,0.2,0.99,71,0
"672",0.01,0.2,0.99,72,0
"673",0.01,0.2,0.99,73,0
"674",0.01,0.2,0.99,74,0
"675",0.01,0.2,0.99,75,4348
"676",0.01,0.2,0.99,76,3375
"677",0.01,0.2,0.99,77,0
"678",0.01,0.2,0.99,78,0
"679",0.01,0.2,0.99,79,0
"680",0.01,0.2,0.99,80,0
"681",0.01,0.2,0.99,81,0
"682",0.01,0.2,0.99,82,2336
"683",0.01,0.2,0.99,83,0
"684",0.01,0.2,0.99,84,0
"685",0.01,0.2,0.99,85,0
"686",0.01,0.2,0.99,86,0
"687",0.01,0.2,0.99,87,0
"688",0.01,0.2,0.99,88,0
"689",0.01,0.2,0.99,89,64
"690",0.01,0.2,0.99,90,3002
"691",0.01,0.2,0.99,91,1994
"692",0.01,0.2,0.99,92,0
"693",0.01,0.2,0.99,93,7
"694",0.01,0.2,0.99,94,4901
"695",0.01,0.2,0.99,95,3259
"696",0.01,0.2,0.99,96,636
"697",0.01,0.2,0.99,97,0
"698",0.01,0.2,0.99,98,80
"699",0.01,0.2,0.99,99,0
"700",0.01,0.2,0.99,100,0
"701",0.01,0.2,1,1,0
"702",0.01,0.2,1,2,0
"703",0.01,0.2,1,3,0
"704",0.01,0.2,1,4,0
"705",0.01,0.2,1,5,0
"706",0.01,0.2,1,6,0
"707",0.01,0.2,1,7,0
"708",0.01,0.2,1,8,0
"709",0.01,0.2,1,9,0
"710",0.01,0.2,1,10,0
"711",0.01,0.2,1,11,0
"712",0.01,0.2,1,12,0
"713",0.01,0.2,1,13,0
"714",0.01,0.2,1,14,0
"715",0.01,0.2,1,15,0
"716",0.01,0.2,1,16,0
"717",0.01,0.2,1,17,0
"718",0.01,0.2,1,18,0
